structure_type,rated_power_mw,material_model,intensity_gco2_per_kwh_base,total_gwp_kgco2_base,intensity_gco2_per_kwh_min,total_gwp_kgco2_min,intensity_gco2_per_kwh_max,total_gwp_kgco2_max,intensity_range,intensity_range_pct_of_base,gwp_range
spar,2.0,gfrp,25.321987069381056,4214591.527827783,29.00214409820706,4064940.5168047016,22.477254653941777,4430266.892291923,-6.524889444265284,-25.76768334328342,365326.3754872214
spar,2.0,cfrp,26.895363469085076,4476464.2957945205,30.49219377952061,4273785.880137608,24.139202997342935,4757836.910776293,-6.352990782177674,-23.621137485203093,484051.0306386845
spar,2.0,rcfrp,25.851068908614685,4302651.909149828,29.08177013998995,4076100.902820991,23.401324426360087,4612401.044435574,-5.680445713629862,-21.97373630355723,536300.1416145829
spar,2.0,rrcfrp,26.174115010012912,4356419.702266549,29.389743908409383,4119266.506202659,23.521436155029097,4636075.066156235,-5.868307753380286,-22.420271902738122,516808.5599535755
spar,5.0,gfrp,20.772105925553554,8643273.275622834,23.642099748130864,8284191.751745055,18.586232790245557,9158366.207393495,-5.055866957885307,-24.339693702724915,874174.4556484399
spar,5.0,cfrp,22.204882967259508,9239451.80267668,24.980961458891,8753328.895195406,20.11594442710458,9912131.616455782,-4.865017031786419,-21.909672025561918,1158802.7212603763
spar,5.0,rcfrp,21.24725900270893,8840984.471027186,23.682737946414548,8298431.376423658,19.44334741158402,9580709.437058028,-4.239390534830527,-19.95264675923621,1282278.06063437
spar,5.0,rrcfrp,21.564004579997995,8972782.305737166,23.98770869280818,8405293.125959987,19.55661046040351,9636519.804363828,-4.431098232404672,-20.548586956407906,1231226.6784038413
spar,10.0,gfrp,19.017947876695647,15826736.222986115,21.589580706460964,15129978.159087842,17.070208147896466,16822690.12975197,-4.519372558564498,-23.763723551385272,1692711.9706641268
spar,10.0,cfrp,20.34863007110874,16934129.945176695,22.817330101858687,15990384.93538257,18.505004476119467,18236681.911215737,-4.31232562573922,-21.192215941170005,2246296.9758331683
spar,10.0,rcfrp,19.453515870109232,16189215.907104902,21.59974244726002,15137099.50703982,17.87971031585486,17620454.516274966,-3.7200321314051585,-19.122672509400076,2483355.0092351455
spar,10.0,rrcfrp,19.767129654164528,16450205.298195718,21.90417229372129,15350443.94343988,17.98824136296117,17727411.863198232,-3.9159309307601227,-19.810316415540466,2376967.9197583515
spar,15.0,gfrp,18.336465437480687,22889409.80560714,20.797452911669655,21862282.500747144,16.475269005754875,24354566.407757144,-4.32218390591478,-23.571521570782185,2492283.90701
spar,15.0,cfrp,19.61002809378927,24479198.069477145,21.96305240266269,23087560.68567902,17.856949374932956,26397035.413494643,-4.106103027729734,-20.938792173531795,3309474.7278156243
spar,15.0,rcfrp,18.74989174674258,23405489.867458764,20.790589147529627,21855067.311883144,17.25812093872088,25511817.27766414,-3.532468208808748,-18.839939219502128,3656749.965780996
spar,15.0,rrcfrp,19.061735756348742,23794764.74465014,21.094696989140814,22174745.47498483,17.364001570595057,25668335.321732145,-3.730695418545757,-19.571645868100987,3493589.8467473164
fawt,2.0,gfrp,21.455149833385015,3758942.250809055,23.704168952908056,3633849.100480805,17.661488820837484,3867866.0517634097,-6.042680132070572,-28.16424112157882,234016.9512826046
fawt,2.0,cfrp,21.27393419670768,3727193.271263186,23.239663535332028,3562640.4199663997,17.820825711120722,3902760.8307354385,-5.418837824211305,-25.471724101929,340120.41076903883
fawt,2.0,rcfrp,20.47630908409075,3587449.3515326995,22.25399810940642,3411537.9101720043,17.216397373030013,3770391.024693573,-5.037600736376408,-24.602093647289276,358853.11452156864
