scenario,structure_type,rated_power_mw,material_model,intensity_gco2_per_kwh
fair_feedback_cap035,spar,10.0,gfrp,19.017947876695647
fair_feedback_cap035,spar,10.0,cfrp,20.34863007110874
fair_feedback_cap035,spar,15.0,gfrp,18.336465437480687
fair_feedback_cap035,spar,15.0,cfrp,19.610028093789268
fair_feedback_cap035,fawt,2.0,gfrp,21.455149833385015
fair_feedback_cap035,fawt,2.0,cfrp,21.273934196707682
fair_feedback_cap035,fawt,5.0,gfrp,17.58213991724912
fair_feedback_cap035,fawt,5.0,cfrp,17.369137032071553
fair_feedback_cap035,fawt,10.0,gfrp,16.000096811467262
fair_feedback_cap035,fawt,10.0,cfrp,15.801098398836626
fair_feedback_cap035,fawt,15.0,gfrp,15.328914070838218
fair_feedback_cap035,fawt,15.0,cfrp,15.123019744252925
fair_blade030_feedbackcap,onshore,2.0,gfrp,19.840144525900467
fair_blade030_feedbackcap,onshore,2.0,cfrp,20.46074185106322
fair_blade030_feedbackcap,onshore,5.0,gfrp,14.56023850787619
fair_blade030_feedbackcap,onshore,5.0,cfrp,15.154066353013535
fair_blade030_feedbackcap,onshore,10.0,gfrp,12.534827197699114
fair_blade030_feedbackcap,onshore,10.0,cfrp,13.082423486021709
fair_blade030_feedbackcap,onshore,15.0,gfrp,11.771493536351743
fair_blade030_feedbackcap,onshore,15.0,cfrp,12.293773992190431
fair_blade030_feedbackcap,bottom_fixed,2.0,gfrp,18.20083994762128
fair_blade030_feedbackcap,bottom_fixed,2.0,cfrp,19.602471631116707
fair_blade030_feedbackcap,bottom_fixed,5.0,gfrp,14.134629276346732
fair_blade030_feedbackcap,bottom_fixed,5.0,cfrp,15.418805552978322
fair_blade030_feedbackcap,bottom_fixed,10.0,gfrp,12.563396359658558
fair_blade030_feedbackcap,bottom_fixed,10.0,cfrp,13.764356520565123
fair_blade030_feedbackcap,bottom_fixed,15.0,gfrp,11.946942670857839
fair_blade030_feedbackcap,bottom_fixed,15.0,cfrp,13.10135595118478
fair_blade030_feedbackcap,semisubmersible,2.0,gfrp,23.852387777019334
fair_blade030_feedbackcap,semisubmersible,2.0,cfrp,25.023441490744865
fair_blade030_feedbackcap,semisubmersible,5.0,gfrp,19.841240093619696
fair_blade030_feedbackcap,semisubmersible,5.0,cfrp,20.909666763894496
fair_blade030_feedbackcap,semisubmersible,10.0,gfrp,18.263922276857972
fair_blade030_feedbackcap,semisubmersible,10.0,cfrp,19.24528893730643
fair_blade030_feedbackcap,semisubmersible,15.0,gfrp,17.65281615729549
fair_blade030_feedbackcap,semisubmersible,15.0,cfrp,18.5854797991206
fair_blade030_feedbackcap,spar,2.0,gfrp,25.321987069381052
fair_blade030_feedbackcap,spar,2.0,cfrp,26.89536346908508
fair_blade030_feedbackcap,spar,5.0,gfrp,20.772105925553554
fair_blade030_feedbackcap,spar,5.0,cfrp,22.204882967259508
fair_blade030_feedbackcap,spar,10.0,gfrp,19.017947876695647
fair_blade030_feedbackcap,spar,10.0,cfrp,20.34863007110874
fair_blade030_feedbackcap,spar,15.0,gfrp,18.336465437480687
fair_blade030_feedbackcap,spar,15.0,cfrp,19.610028093789268
fair_blade030_feedbackcap,fawt,2.0,gfrp,28.52491402989753
fair_blade030_feedbackcap,fawt,2.0,cfrp,27.620183801263444
fair_blade030_feedbackcap,fawt,5.0,gfrp,24.152205851604524
fair_blade030_feedbackcap,fawt,5.0,cfrp,23.26682713584847
fair_blade030_feedbackcap,fawt,10.0,gfrp,22.213342730404324
fair_blade030_feedbackcap,fawt,10.0,cfrp,21.355521987895827
fair_blade030_feedbackcap,fawt,15.0,gfrp,21.343853280995848
fair_blade030_feedbackcap,fawt,15.0,cfrp,20.497215247308773
