scenario,effective_cf,structure_type,rated_power_mw,material_model,intensity_gco2_per_kwh,rank
cf_equalized_030,0.3,spar,2.0,rcfrp,32.744687284245266,4.0
cf_equalized_030,0.3,spar,2.0,rrcfrp,33.15387901268302,4.0
cf_equalized_030,0.3,spar,5.0,gfrp,26.311334172367836,4.0
cf_equalized_030,0.3,spar,5.0,cfrp,28.126185091862045,4.0
cf_equalized_030,0.3,spar,5.0,rcfrp,26.91319473676465,4.0
cf_equalized_030,0.3,spar,5.0,rrcfrp,27.314405801330793,4.0
cf_equalized_030,0.3,spar,10.0,gfrp,24.089400643814486,4.0
cf_equalized_030,0.3,spar,10.0,cfrp,25.774931423404404,4.0
cf_equalized_030,0.3,spar,10.0,rcfrp,24.641120102138363,4.0
cf_equalized_030,0.3,spar,10.0,rrcfrp,25.038364228608405,4.0
cf_equalized_030,0.3,spar,15.0,gfrp,23.226189554142206,4.0
cf_equalized_030,0.3,spar,15.0,cfrp,24.839368918799742,4.0
cf_equalized_030,0.3,spar,15.0,rcfrp,23.749862879207267,4.0
cf_equalized_030,0.3,spar,15.0,rrcfrp,24.144865291375073,4.0
cf_equalized_030,0.3,fawt,2.0,gfrp,28.606866444513358,3.0
cf_equalized_030,0.3,fawt,2.0,cfrp,28.36524559561024,3.0
cf_equalized_030,0.3,fawt,2.0,rcfrp,27.30174544545434,3.0
cf_equalized_030,0.3,fawt,2.0,rrcfrp,27.836693166837257,3.0
cf_equalized_030,0.3,fawt,5.0,gfrp,23.442853222998828,3.0
cf_equalized_030,0.3,fawt,5.0,cfrp,23.158849376095404,3.0
cf_equalized_030,0.3,fawt,5.0,rcfrp,22.1835256149648,3.0
cf_equalized_030,0.3,fawt,5.0,rrcfrp,22.699244242503923,3.0
cf_equalized_030,0.3,fawt,10.0,gfrp,21.33346241528968,3.0
cf_equalized_030,0.3,fawt,10.0,cfrp,21.068131198448835,3.0
cf_equalized_030,0.3,fawt,10.0,rcfrp,20.1471631712634,3.0
cf_equalized_030,0.3,fawt,10.0,rrcfrp,20.63421475642698,3.0
cf_equalized_030,0.3,fawt,15.0,gfrp,20.43855209445096,3.0
cf_equalized_030,0.3,fawt,15.0,cfrp,20.164026325670573,3.0
cf_equalized_030,0.3,fawt,15.0,rcfrp,19.273917601814663,3.0
cf_equalized_030,0.3,fawt,15.0,rrcfrp,19.75075037838559,3.0
cf_equalized_035,0.35,onshore,2.0,gfrp,17.005838165057543,1.0
cf_equalized_035,0.35,onshore,2.0,cfrp,18.61339488614554,1.0
cf_equalized_035,0.35,onshore,2.0,rcfrp,16.860215139055754,1.0
cf_equalized_035,0.35,onshore,2.0,rrcfrp,16.849168333508004,1.0
cf_equalized_035,0.35,onshore,5.0,gfrp,12.48020443532245,1.0
cf_equalized_035,0.35,onshore,5.0,cfrp,14.012028030027805,1.0
cf_equalized_035,0.35,onshore,5.0,rcfrp,12.378392846891334,1.0
cf_equalized_035,0.35,onshore,5.0,rrcfrp,12.357925512404782,1.0
cf_equalized_035,0.35,onshore,10.0,gfrp,10.744137598027814,1.0
