structure_type,rated_power_mw,material_model,median_20yr,median_25yr,median_30yr,delta_20yr_pct,delta_30yr_pct
semisubmersible,5.0,cfrp,25.01037532750266,20.022688075212265,16.697563240352,24.91017806178115,-16.606785374520772
semisubmersible,5.0,gfrp,23.6853202879691,18.963888330097863,15.81626702485038,24.896961402044234,-16.597974268029454
semisubmersible,5.0,rcfrp,23.90885213137021,19.14248808596499,15.964551103960819,24.89939669284606,-16.601483400343305
semisubmersible,5.0,rrcfrp,24.277324152791934,19.43665145927367,16.21008602530531,24.90486956388092,-16.600418239371642
semisubmersible,10.0,cfrp,22.954904411271663,18.378988579990796,15.328378025803552,24.897538900822134,-16.598359267214757
semisubmersible,10.0,gfrp,21.751361613293945,17.416763909257014,14.52719458421598,24.8875033652669,-16.590736029356332
semisubmersible,10.0,rcfrp,21.94705469298843,17.57251306108521,14.65612826827297,24.89422893980234,-16.596287524011863
semisubmersible,10.0,rrcfrp,22.313115482502678,17.866086238059125,14.901400075096756,24.890897677244467,-16.593931784829653
semisubmersible,15.0,cfrp,22.146700493754626,17.73132703904821,14.7877447359106,24.90153977185582,-16.60102651457055
semisubmersible,15.0,gfrp,20.99721527975616,16.81348684565521,14.024334556254576,24.883169520438116,-16.588779680292078
semisubmersible,15.0,rcfrp,21.170756349974965,16.952027853962036,14.139542189953415,24.886276334349734,-16.5908508895665
semisubmersible,15.0,rrcfrp,21.53092767723671,17.24104199472611,14.380876594413007,24.8818237541724,-16.589283879640245
spar,2.0,cfrp,33.12235790674369,26.530467122047796,22.135873265583868,24.84649348377959,-16.564328989186393
spar,2.0,gfrp,31.164065226751166,24.966690185225,20.835106824207557,24.82257357923118,-16.548382386154124
spar,2.0,rcfrp,31.826599576166966,25.49400149357268,21.272269438509817,24.839561118684355,-16.55970741245625
spar,2.0,rrcfrp,32.224678072332544,25.813118488221043,21.53887249457197,24.838376606984554,-16.558425498257733
spar,5.0,cfrp,27.304092235702136,21.876972223011876,18.258892214551707,24.807454877058348,-16.53830325137221
