scenario_id,distribution_shape,windcrete_reinforcement_upper_fraction,capacity_factor_copula_rho,tie_threshold,comparison_group,case_a,case_b,estimand,sample_fraction_a_lower,replicate_sd_sample_fraction_a_lower,replicate_min_sample_fraction_a_lower,replicate_max_sample_fraction_a_lower,sample_fraction_b_lower,replicate_sd_sample_fraction_b_lower,replicate_min_sample_fraction_b_lower,replicate_max_sample_fraction_b_lower,sample_fraction_tie,replicate_sd_sample_fraction_tie,replicate_min_sample_fraction_tie,replicate_max_sample_fraction_tie,n_replicates,n_samples_per_replicate,n_samples_total,replicate_seeds,interpretation,no_central_claim
triangular__rebar_0.050__rho_0.0,triangular,0.05,0.0,0.01,ab_reported_material_pair,tlp_15mw,volturnus_15mw,equal_yield_gco2_per_kwh,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,20000,60000,202607171|202607172|202607173,conditional_design_space_sample_fraction,True
triangular__rebar_0.050__rho_0.0,triangular,0.05,0.0,0.01,ab_reported_material_pair,tlp_15mw,volturnus_15mw,deployment_gco2_per_kwh,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,20000,60000,202607171|202607172|202607173,conditional_design_space_sample_fraction,True
triangular__rebar_0.050__rho_0.0,triangular,0.05,0.0,0.02,targeted_windcrete_tlp,windcrete_15mw,tlp_15mw,core_equal_yield_gco2_per_kwh,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,20000,60000,202607171|202607172|202607173,conditional_design_space_sample_fraction,True
triangular__rebar_0.050__rho_0.0,triangular,0.05,0.0,0.02,targeted_windcrete_tlp,windcrete_15mw,tlp_15mw,equal_yield_gco2_per_kwh,0.9949166666666667,0.00012472191289245098,0.99475,0.99505,0.0007666666666666667,0.00022484562605386732,0.0005,0.00105,0.004316666666666667,0.0003171049598406741,0.004,0.00475,3,20000,60000,202607171|202607172|202607173,conditional_design_space_sample_fraction,True
triangular__rebar_0.050__rho_0.0,triangular,0.05,0.0,0.02,targeted_windcrete_tlp,windcrete_15mw,tlp_15mw,deployment_gco2_per_kwh,0.9350333333333333,0.0011606990230986869,0.93345,0.9362,0.034216666666666666,0.0009258629608220764,0.03335,0.0355,0.03075,0.00024494897427831773,0.03045,0.03105,3,20000,60000,202607171|202607172|202607173,conditional_design_space_sample_fraction,True
triangular__rebar_0.050__rho_0.0,triangular,0.05,0.0,0.02,targeted_monopile_windcrete,monopile_15mw,windcrete_15mw,core_equal_yield_gco2_per_kwh,0.1053,0.001651262143533445,0.1038,0.1076,0.8487333333333332,0.0016534475766980946,0.8473,0.85105,0.04596666666666666,0.0011904714285619028,0.0451,0.04765,3,20000,60000,202607171|202607172|202607173,conditional_design_space_sample_fraction,True
triangular__rebar_0.050__rho_0.0,triangular,0.05,0.0,0.02,targeted_monopile_windcrete,monopile_15mw,windcrete_15mw,equal_yield_gco2_per_kwh,0.9999666666666668,4.714045207909797e-05,0.9999,1.0,0.0,0.0,0.0,0.0,3.3333333333333335e-05,4.7140452079103176e-05,0.0,0.0001,3,20000,60000,202607171|202607172|202607173,conditional_design_space_sample_fraction,True
triangular__rebar_0.050__rho_0.0,triangular,0.05,0.0,0.02,targeted_monopile_windcrete,monopile_15mw,windcrete_15mw,deployment_gco2_per_kwh,0.9973166666666667,0.00033993463423951785,0.99685,0.99765,0.001,8.164965809277264e-05,0.0009,0.0011,0.0016833333333333333,0.00026246692913372714,0.00145,0.00205,3,20000,60000,202607171|202607172|202607173,conditional_design_space_sample_fraction,True
triangular__rebar_0.050__rho_0.0,triangular,0.05,0.0,0.02,ab_reported_material_pair,monopile_15mw,tlp_15mw,core_equal_yield_gco2_per_kwh,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,20000,60000,202607171|202607172|202607173,conditional_design_space_sample_fraction,True
triangular__rebar_0.050__rho_0.0,triangular,0.05,0.0,0.02,ab_reported_material_pair,monopile_15mw,tlp_15mw,equal_yield_gco2_per_kwh,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,20000,60000,202607171|202607172|202607173,conditional_design_space_sample_fraction,True
